# The phase-gate criteria (docs/13, G7-G9; the G0-G6 rows are docs/7's, closed history the
# v3 plan carries by reference and this file keeps runnable). One row per criterion; adding
# a criterion is adding a line. Tab-separated:
#
#   phase     the gate it belongs to: g0 .. g9
#   kind      `tests`   — a cargo-nextest filterset, run with --no-tests=fail
#             `command` — a command run from the repository root
#   selection the filterset or the command
#   what      what the criterion establishes, in the words its plan uses (docs/7 for
#             g0-g6, docs/13 from g7 on)
#
# Two readers: `phase.sh` runs the rows for one phase and counts them, and
# `counted-selections.sh` proves every `tests` row still selects more than zero tests —
# the predecessor's defect was a gate whose selection had silently gone to zero while the
# gate stayed green.
#
# phase	kind	selection	what
g4	command	./scripts/smoke-hw.sh	the R3 hotplug recipe exists and selects tests — one uvcvideo cycle through the blessed helper, with every camera closed and never --force, watched while it happens and seen through the real CameraBackend::watch as removals of nodes that were here followed by arrivals, and the events applied to the pre-cycle node listing proven to reproduce the kernel's own listing afterwards; the helper's absence, an unblessed helper, a camera somebody else holds and an unload that did not take are four different named counted skips rather than one silent pass, and design §3.3 item 9's mid-stream device loss stays the fake's because the interlock makes it unarrangeable here (the run itself is evidence, not CI-gating — note E9)
g4	command	./scripts/gates/uds-permissions.sh	docs/9's UDS-permissions row: the socket directory a shipped webcam-handler-daemon served from is 0700 and owned by the user who ran it, a webcam-handler-daemon handed a directory anyone can walk into refuses to serve and does not repair it, and a second uid cannot walk in where the host offers one — a named, counted skip where it does not (D11, note N44)
g4	tests	package(webcam-handler-daemon) and test(/^shutdown::/)	the order the daemon stops in, driven over its own seams (docs/7 P4e-ii, note N61): SIGTERM and SIGINT producing one identical teardown; the supervisor told STOPPING before a subscription is cancelled and before the socket closes, which is the step that only buys anything if it is first; the transport not stopped until the cancelled subscriptions have actually ended, asserted as the open count at the instant the stop happened rather than as a scheduling hope; a subscription that never ends held to the one deadline the whole teardown shares rather than to a second full-length one; a drain that finishes inside the bound saying nothing and one that runs out of it naming the bound and stopping anyway (AGENTS rule 3: a wait that expires is never a silence); an accept loop that gave up reported rather than swallowed, and that same failure surviving a teardown which could not drain, because a daemon that stopped serving must not exit clean; and the real signal source answering both signals and nothing else — every step recorded as a value by a double, because an order of side-effects that leave the process is only assertable against something that writes them down
g4	tests	package(webcam-handler-daemon) and test(/^systemd::/)	the four protocols a service manager speaks, taken apart over values (docs/7 P4e-ii, design §2.6 and D11): a supervisor nobody is running sending nothing, opening nothing and logging nothing, which is what lets main pass the real one unconditionally instead of asking whether this is systemd; the watchdog a task only when $WATCHDOG_USEC says somebody is holding a stopwatch, pinged inside the interval that manager set; an inherited socket adopted only when its directory passes the same check_mode_and_owner the self-bound path uses — refused in a directory anyone can walk into, refused when the address is abstract because there is then no directory, no mode and no owner to authenticate with, refused when more than one descriptor arrives because picking the first would be a guess an operator cannot see — with the startup line naming which of the two paths this daemon is on; the $JOURNAL_STREAM decision made by comparing the device and inode this process's stderr actually has rather than by trusting the variable; and a startup enumeration that failed answered as a STATUS line rather than as a daemon that will not start (E3, AGENTS rule 7)
g4	tests	package(webcam-handler-daemon) and binary(signals)	docs/9's commissioned signal-parity row, against a real process at last (note N61): one test per signal, SIGTERM and SIGINT delivered for real to a webcam-handler-daemon that is mid-sweep with a subscription open across it, each producing one eight-field record rather than two lists of assertions that could drift while both stayed green — the ending's reason is events::SHUTTING_DOWN and not a socket that went away, the daemon was alive with work in flight when the signal arrived, the samples the sweep answered with are the samples on disk, the photo's bytes crossed the fifo so the wedge was the sweep rather than the test's idea of it, the exit is zero, the state lock is free, and the socket file is still there because uds.rs argues at length that it is deliberately not unlinked; the sweep is held mid-flight in a process nothing can reach into by a fifo at the second sample's own photo path, derived from the Session the daemon answered with, which works only because calibrate.rs writes sample photos through a blocking std::fs::write and deliberately not N51's non-blocking open (note N62); watched red against a teardown that cancels nothing (both tests TIMEOUT), a stop that does not drain, a daemon that unlinks its socket, SIGINT handled alone, and step 3's wait first removed and then left unbounded
g4	tests	package(webcam-handler-daemon) and binary(systemd)	the same protocols against a real subprocess webcam-handler-daemon rather than against values (docs/7 P4e-ii): READY=1 arriving on a notify socket this suite binds, before any camera has been walked, with the count of cameras following as a second STATUS that says at startup because nothing keeps it live; a unit that asks for a watchdog pinged inside the interval it set; a daemon with no $NOTIFY_SOCKET serving and saying nothing to anybody, which is the measurement that makes Unsupervised stop being a choice; and a $JOURNAL_STREAM naming a stream that is not this stderr leaving the fmt layer exactly where it was — the half socket-activation.sh completes on a host with a real journal, where the same line's _TRANSPORT is what tells the two layers apart
g4	command	./scripts/gates/systemd-units.sh	the shipped unit files say what the daemon needs them to say, every value re-derived from the tree rather than read and nodded at (docs/7 P4e-ii, design D9/D11): Type=notify and never Type=forking and no PIDFile=, because the process a supervisor starts is the process that serves — which is what makes NotifyAccess=main sufficient and D9's lock record name the pid systemd knows; SocketMode=0600 and DirectoryMode=0700, systemd's own default being 0755 and D11 making filesystem permissions the whole authentication model, so this is the half that keeps the daemon's own refusal from ever having to be reached; ListenStream= ending at the socket composed from schema::paths::APP_DIR and schema::limits::DAEMON_SOCKET_FILE, so a rename in either crate turns this red instead of shipping a unit that binds a socket nothing connects to; and TimeoutStopSec exceeding limits::DAEMON_SHUTDOWN_DRAIN_MS, the pair that can only be wrong together — whichever is smaller is the bound that fires, and if it is systemd's then the ordered release never runs and every sentence this project writes about how webcam-handler-daemon stops describes a path nothing takes
g4	command	./scripts/gates/socket-activation.sh	a real webcam-handler-daemon under a real service manager, which is the only place two of these claims can be driven at all (docs/7 P4e-ii, design D11, note N39's amendment): systemd-socket-activate binds the socket and the daemon serves that very socket, compared by inode — read once when the activator says it is listening and again once the daemon says it is serving, so never binds its own is asserted rather than assumed — with the path the daemon announces checked beside it, because binding the right inode and announcing another is a daemon nobody can find; an abstract-namespace address refused outright, since there is then no directory, no mode and no owner to check rather than something this build merely cannot verify; more than one inherited descriptor refused rather than guessed at; and a stderr that really is the journal getting structured entries from the journald layer installed instead of the fmt layer, told apart by _TRANSPORT=journal under a transient systemd-run --user unit. On this host every arm ran for real and no skip was taken, and the named counted skips exist and were exercised green by an arm of their own (note N44's reason for a shell predicate rather than a declining #[test])
g4	tests	(package(webcam-handler-daemon) and test(/^server::tests::the_idle_sweep_driver_ends_itself/)) + (package(webcam-handler-daemon) and test(/^uds::tests::the_reason_the_loop_ended_survives_being_asked_for_twice/)) + (package(webcam-handler-daemon) and binary(subscriptions) and test(/a_daemon_that_is_stopping_ends_every_open_subscription/))	the deferrals the tree named in place, discharged where each of them sat (docs/7 P4e-ii, notes N58 and N61): server.rs's idle-sweep driver ending itself on the same token rather than being detached, which is what makes step 6 a join and not a hope about a task nobody waits for; uds.rs's Serving::stopped answering the same question twice, a latent panic found by needing the answer twice — the teardown races that handle against a signal and then awaits it again as the drain, and a JoinHandle polled after it has yielded panics, on the stopping path, in a task nobody joins; and, from the outside over a real socket, a daemon that is stopping ending every open subscription with events::SHUTTING_DOWN in a payload the client can branch on rather than with a connection that closed underneath it, which is step 3 as a client sees it
g4	command	./scripts/gates/cli-parity.sh	docs/9's CLI-parity row (docs/7 P4f, design T4/T5/D9): webcam-handler-cli and webcam-handler-client answer one surface, compared as bytes over a real socket and a real fake-backed daemon. The population is the surface's own — leaf verbs scraped from webcam-handler-cli --help at both levels with an exact row match, so a verb added without a bucket fails and a row naming a verb the surface dropped fails too — and every leaf lands in one of four named buckets rather than being quietly absent: compared (the six read verbs, byte-identical --json and both exit zero); exempt-session (the six calibrate writes, because comparing them would mean two sessions in two states, and D9 gives a running daemon the store lock for its lifetime so webcam-handler-cli cannot write one at all — asserted in LockProtocol::HeldForLifetime's own words, read out of schema::error rather than transcribed); exempt-device (set, restore, photo, profile capture, because webcam-handler-cli and webcam-handler-daemon each replay the profile into a device state of their own and a comparison would write to two devices); and exempt-stamped (snapshot, which mutates nothing but stamps taken_at with the instant of the read — measured to differ in exactly that one field and no other, so the exemption is proved rather than asserted). terminate_holder is out of the population by construction and not by exemption: it has no T4 spelling (note N48). docs/9's 'local-only verbs, none at P4' is tested rather than repeated — every exempt verb is driven through webcam-handler-client alone and must answer, and a verb only webcam-handler-cli could run would name itself there. The fixture also exercises the property it rests on: one webcam-handler-cli reads the very state directory a live webcam-handler-daemon holds, because read verbs take no lock under either D9 protocol
g4	tests	package(webcam-handler-client) and binary(wchc)	the shipped webcam-handler-client end to end (docs/7 P4f). binary(wchc) is the *test target* crates/client/tests/wchc.rs and not the shipped binary, which note N90 renamed to webcam-handler-client: nextest's binary() selects a compiled test target, the file kept its name because renaming a test file is a different decision from renaming a program, and a reader who tidies this to binary(webcam-handler-client) selects nothing and this row runs zero tests. The refusals it owns without a daemon — a socket nothing is listening on named by path, an unset $XDG_RUNTIME_DIR told apart from it, the two composition-root flags refused by clap's ValueSource before the socket is touched, and clap's exit 2 kept distinct from the daemon's exit 1 — and then the verbs it answers over a real AF_UNIX socket against a real webcam-handler-daemon replaying a committed profile: the read verbs, one T4 verb reaching two wire methods and answering the same document, a photo arriving as base64 and as a file on the daemon's disk, a profile captured over the wire, and the whole calibration arc. The sweep's progress is asserted from the events themselves while the call that owns them is still in flight, which is the one property a subprocess could never show — the shipped watcher draws nothing when stderr is not a terminal (measured), which is why the crate has a library at all
g4	tests	package(webcam-handler-client) and kind(lib)	the thin client's own decisions, taken apart over values (docs/7 P4f): the socket composed from schema::paths::runtime_dir and schema::limits::DAEMON_SOCKET_FILE — the two homes webcam-handler-daemon composes it from, so a fixture cannot pin a path the daemon would not bind — and the refusal that names $XDG_RUNTIME_DIR when there is nowhere to put one; --backend and --profile refused by provenance and not by value, with every other global flag passing, without which the refusal would swallow every command line; the per-verb request timeout, where only calibrate sweep gets the unbounded-by-design budget and the two constants are asserted to differ so the walk is not vacuous; and the sweep's consumer-side event filter both ways, exact by session id and falling back to the swept control under --task (note N57's per-client stream, filtered here)
g4	tests	package(webcam-handler-cli-core) and test(/^tests::(each_root_announces_its_own_name_over_the_one_shared_tree|the_error_line_names_the_program_that_met_the_error|the_command_tree_is_well_formed)/)	one command tree, one name per root (docs/7 P4f, design T4, §2.10): cli_core::Program is a closed vocabulary and the name is a parameter of the parse, so --help, --version and the usage block of every clap error carry the right binary's name off the one tree, and {program}: {error} has one home rather than one per consumer. Anchored assertions rather than contains-based, because webcam-handler-cli is a prefix of webcam-handler-client and a substring assertion could never go red; the well-formedness walk debug_asserts once per root, so a tree that is malformed under only one of the two names is still caught. The g1 package(webcam-handler-cli-core) row runs these tests already; it names the clap tree and both renderings, not the per-root identity P4f added, and a criterion nobody named is a criterion nobody can check
g5	tests	package(webcam-handler-daemon) and test(/^http::posture::/)	D11's bind × token matrix decided from values, before anything is bound (design D11, docs/7 P5a): `Posture::of` takes a `SocketAddr` and the one flag the paragraph names, opens no socket, reads no environment and consults no clock, so all four cells are asserted on a machine with one interface — which is the whole reason the decision is a function rather than three lines inside a `bind` call, because deciding while binding leaves the two non-loopback cells testable only on a host whose network happens to cooperate, and that is the same as saying nothing checks them. The matrix is asserted twice over: one test per cell, each quoting the sentence of D11 it is about, and once as a *property* over nine addresses and both flag values, where token-less must happen exactly when the address is loopback and the flag was given — so a fifth cell added by accident fails here as well as in whichever cell test it belongs to. It also closes the hole an address that is loopback and does not say so: `Ipv6Addr::is_loopback` answers false for `::ffff:127.0.0.1`, the form a dual-stack listener sees for every IPv4 client, so the mapping is unwrapped before the question is asked, the whole of `127.0.0.0/8` is asked rather than `127.0.0.1`, all three wildcard binds are asserted **not** loopback including the mapped one, and the deprecated IPv4-compatible form is deliberately left where the kernel has it (note **N80**). What it does not establish is that anything reads the answer, or that the composition root decided a posture about the right address — the listener's row and `binary(webcam-handler-daemon)`'s row below are those, and the suite says so in its own header rather than leaving it to be assumed
g5	tests	package(webcam-handler-daemon) and test(/^http::token::/)	the per-run bearer token D11 asks for, treated as what it is — a secret this process mints, and therefore a secret this process can leak (design D11, docs/7 P5a). 32 bytes of `getrandom(2)` through rustix's `rand` feature rendered as 64 lowercase hex digits; two tokens minted in one process asserted to **differ**, which is the one property that makes it a secret rather than a password and the one a generator seeded from a pid or a start-of-process clock fails while passing everything else in the module; and the kernel-fill loop's property asserted where its branches cannot be, since the syscall is not a seam — over sixteen tokens no position may be a zero digit in all of them, which is what a partially filled buffer looks like. The confinement is asserted rather than asserted-about: the hand-written `Debug` does not contain the token and does say it is hiding something, and the same test reads the secret back through a rendering that is *not* the accessor it was read out of, so a `Token` that had quietly stopped yielding its secret fails here as well as in a browser. `verify` is driven at every shape a rewrite gets wrong first — a prefix, a suffix, an equal-length near miss, a case variant, and nothing at all — and the row is careful about what that is worth: **nothing in this suite can go red on the timing property itself**, because what a test can see is the answer and the claim is about the clock. The shape that argument stands on is `token-comparison-has-one-home.sh`'s row below, and the residual it leaves is note **N78**'s
g5	tests	package(webcam-handler-daemon) and test(/^http::gate::/)	the token gate's policy over values — which parts of a request may carry a credential, and what it means when more than one does (note **N74**, docs/7 P5a). The rule is that **every credential the request presents must verify, and it must present at least one**, and the three cases that tell it apart from the two gates this project refused to build are each asserted with the refused gate named in the failure message: a good header beside a bad query parameter, a repeated token parameter with the good copy first, and the same repeated with the good copy last — a first-wins gate serves the second, a last-wins gate serves the third, and the difference is reachable by anybody who can get one more parameter appended to a URL an operator is about to open. Two `Authorization` headers is the same rule again, because that is well-formed HTTP and `HeaderMap::get` would answer only the first of them. Beside those: an `Authorization` that is not a bearer credential counted as a credential that *failed* rather than as no credential at all, so a `Basic` header beside a good query parameter is refused by the rule rather than admitted down another path; the scheme compared case-insensitively as RFC 9110 requires and the token not, since it is hex this daemon minted lowercase; the grammar's extra spaces after the scheme allowed and a trailing one refused; a token parameter with no value at all treated as a credential that fails rather than as a request that presented nothing, which is what a URL truncated at its equals sign should meet; whole-name comparison, so a parameter that merely contains the name is somebody else's; and a percent-encoded token refused rather than decoded, so the secret has exactly one spelling. All of it takes a `HeaderMap` and a query string rather than a `Request`, so none of it needs a socket, a router or a runtime — the wire half is `binary(http)`'s row, and neither row is the other's rehearsal
g5	tests	package(webcam-handler-daemon) and test(/^http::listener::/)	the composition the listener performs, at the seams the integration suite cannot reach (docs/7 P5a). **A posture and a token that disagree are refused, in both directions**: a token-requiring posture with nothing minted is a gate with nothing to check, and a token-less posture with a token minted is a secret printed in a URL and never checked — both refused rather than resolved, because both resolutions are a socket onto a camera somebody did not mean to open, and with the two *agreeing* arrangements asserted to get a router, which is what makes the first two assertions about the disagreement rather than about a function that refuses everything. Then the one transformation between an HTTP path and an asset — the single leading slash stripped, the empty remainder read as the index page, and the name of that page owned by the asset crate rather than spelled here — with a parent-directory traversal, a doubled slash, a trailing slash and a path carrying no leading slash all answering nothing, not because a check catches a traversal but because the table of names is fixed at compile time and there is nothing to traverse (note **N77**). And `open` driven end to end on an ephemeral port for D11's "report the bound port": the URL carries the port the kernel gave and never the zero that was asked for, the token-less cell's URL carries no token parameter at all because an empty one reads as a token that failed to render, and both tests end by cancelling and joining rather than dropping the handle — which is exactly the detached task `Serving`'s `#[must_use]` message is about
g5	tests	package(webcam-handler-daemon) and binary(http)	docs/9's **Token enforcement** row, over a real TCP socket, a real axum server and a hand-written HTTP client — docs/7 P5a's "401-without/200-with" and "one test per matrix cell", which are one suite because the second is what stops the first being a claim about one cell. The credential every test presents is parsed out of `Serving::ready_to_open_url`, the line an operator copies, rather than read off the `Token` value: a build that published one secret and checked another would otherwise pass this whole suite, and that is the one bug a 401-without/200-with pair exists to be unable to survive. Both forms are driven, because they are two mechanisms a build can lose one at a time — the `Authorization` header, which is what code sends, and the query parameter, which is what a *navigation* can carry and therefore what an operator's first request is. All four cells are here: the two loopback ones through `http::open`, the function `webcam-handler-daemon`'s composition root actually calls, and the two non-loopback ones through `http::serve` with a posture decided about `192.168.1.10:8080` and `0.0.0.0:8080` while the socket stays on loopback — the only way to reach them on a machine with one interface, and they establish that the gate is installed **because the posture said so** and nothing whatever about where the posture came from, which the suite's header states rather than leaves to be inferred. The refusal is asserted as three claims that do not imply one another — the status a client branches on, RFC 6750's challenge, and the body compared against the daemon's own constant, so a build that started answering with a stack trace or with the token fails here rather than in a review — and a path this build does not serve is asserted **401 while anonymous and 404 with the token**, which is the property that says the gate sits outside the router rather than inside it, and is why a stranger cannot map this daemon's surface by watching which paths answer differently (note **N75**). The token-less cell's claim is stronger than "a request with no token is served": no gate is installed at all, the URL the daemon published carries no token to leak, and the 404 still happens, so that cell removes the gate and not the router. Finally the printed URL is taken apart and **opened** rather than matched against a pattern, and the listener is stopped the way the daemon stops it, with the port asserted to refuse a connection afterwards
g5	tests	package(webcam-handler-daemon) and binary(webcam-handler-daemon) and test(/(a_daemon_nobody_asked_to_listen_on_tcp|http_alone_means|http_with_an_address|the_insecure_flag_needs_a_listener)/)	D11's "TCP is **opt-in**" at the surface where it is opt-in, and the half `crates/daemon/tests/http.rs` says out loud it cannot establish — that the composition root decides its posture from the right two values (docs/7 P5a). `--http` absent parses to `None`, which is neither a default address nor a disabled listener but the branch in `run` that opens no socket and mints no token: a flag that quietly acquired a `default_value` would put a TCP socket on every `webcam-handler-daemon` on the machine while passing every other test in the file. `--http` alone takes D11's `127.0.0.1:0`, with the port asserted to be the kernel's to pick, and is asserted **not** to eat the flag that follows it, which is what an optional value would otherwise do to a command line. A host **name** is refused by the parser rather than resolved, because how far a bind reaches is what decides whether a token is required and a name with several addresses behind it is a name with several answers to that question. And `--http-insecure-loopback` is refused without `--http` — a flag that parses cleanly and does nothing is the second way an operator comes to believe in a listener that is not there — while being deliberately **not** refused off loopback, which is D11's fourth cell: the paragraph prescribes a token and a warning there, not a daemon that will not start, and `daemon::http::posture` is what makes the flag inert and says so in the warning
g5	tests	package(webcam-handler-web)	the client's files as bytes inside the binary that serves them (design §2.7's "no build step, no npm, no CDN (assets embed; external fetches would violate both the offline posture and the license inventory)", docs/7 P5a's "rust-embed asset serving skeleton"). **`debug-embed` is asserted rather than merely configured** (note **N77**): every embedded asset's bytes are `Cow::Borrowed`, which is a slice of the binary, and the assertion walks every asset rather than sampling one because the feature is per-build — without it a debug `webcam-handler-daemon` reads its asset directory off the filesystem at the absolute path this crate was compiled from, which works on the machine that built it, serves nothing anywhere else, and means the daemon's whole HTTP suite exercises a *different mechanism* from the one a release binary ships. Every embedded asset is asserted to carry a content type, over a population the embed itself lists rather than one this suite wrote, and the count is asserted non-zero because a walk that found nothing is exactly how a crate that had stopped embedding its own directory would look; the four-entry table is then driven directly, fallback arm included, which the walk can never reach while every shipped asset is typed. `INDEX` — the one name the daemon spells — is asserted embedded and asserted to be HTML, because a rename that left the constant behind is a 404 at the root path, and the root path is the URL D11 asks an operator to open. What this crate does not do is turn bytes into a response: that is the daemon's law (design §2.10), and `dependency-walls.sh`'s row below is what keeps it there rather than a sentence in a header
g5	command	./scripts/gates/token-comparison-has-one-home.sh	the gate a surviving mutant produced, and the one criterion in this phase that exists because a *test* could not be written (note **N78**, AGENTS rule 1, design §2.10). Replacing `Token::verify`'s constant-time body with an equality on the exposed secret leaves every test in this workspace passing — the answer is identical for every input, and the only thing that changed is how long the daemon takes to say no — so the defect class is real, invisible to the suite, and gets no exemption from "every anticipated or discovered defect class becomes a lint, a CI job, or a test that can go red". This predicate cannot measure a clock, so it holds the five shape claims the timing argument stands on: the secret has **one reader**, and `expose_secret` outside `token.rs` appears only inside `#[cfg(test)]` — `gate.rs` naming it in product code is the defect spelled out one line before the comparison; the type implements no `PartialEq`, `Eq`, `Hash`, `Display`, `AsRef`, `Borrow`, `Deref`, `ToString`, `Into` or `Serialize` for it, and no `From`/`TryFrom`/`PartialEq` taking it anywhere in the workspace, derived or hand-written; `Debug` is hand-written and names no field of the struct, with the field names read out of the declaration rather than typed into the predicate; and something still **calls** the comparison, because every claim above is true of a tree where the gate stopped checking the token. Every population it uses is derived — the daemon's directory from `cargo metadata`, the files from the tree walk, the fields from the declaration — and every name it treats as policy is asserted to exist first, so a rename or a move fails it rather than quietly emptying it. The row inherits its stated limit rather than restating it as a strength: this checks shape, an early `return false` written *inside* `verify` passes all five claims, and what defends that is the argument beside the code and the person reading the diff
g5	command	./scripts/gates/no-external-fetch-in-web.sh	docs/9 Part 2's **Web-fetch gate non-vacuity** row, commissioned at P5a by name and landed with the assets that made it assertable (design §2.7: external fetches "would violate both the offline posture and the license inventory"). Twelve rules — a script tag with a scheme in its source, an off-origin stylesheet, a fetch and an ES import to another origin, a WebSocket to one, a CSS webfont — each quantify over the files the walk finds, so a walk that finds none makes all twelve of them vacuously true, and **the greenest this gate could be was the state in which it was checking nothing at all**. Until `crates/web/assets/index.html` existed the emptiness was the honest answer and was printed as a named, counted skip; the skip is gone, and an asset directory that is empty — or missing, which reaches the same place, because a walk says nothing about what is not there — is now a failure. Anchors stay deliberately outside the rules: a link a user may click is not a subresource the page loads. What the criterion is worth is a function of the population it runs over, and that population is one file today, a skeleton page whose styles are inline for the reason note **N76** records — so this row grows with P5c's modules rather than being finished by P5a
g5	command	./scripts/gates/dependency-walls.sh	the T6 wall P5a's new crate needed and design §2.8's list did not have (docs/7 P5a, design §2.10). `webcam-handler-web` links **neither** stack — no tokio, no axum, no hyper, no tower-http — and it is its own rule in the predicate rather than a name added to one of the existing lists, because the pure wall does not cover `tower-http` at all and the wire wall allows tokio for a reason (note N5) that has nothing to say about an asset crate. The crate's own manifest already turns `rust-embed`'s `axum-ex` integration down with this argument — "the axum one would give this crate its own axum and tokio edges, and serving is `webcam-handler-daemon`'s half of the seam" — and a manifest comment is an argument until something can go red on it. What the wall buys is concrete: `crates/web` stays a crate a test reads without a runtime, and the daemon stays the one place a request becomes a response, which is the arrangement that let `daemon::http::listener` answer every path from one `fallback` over `web::get` with no route table in either crate. Both halves of the wall are seeded red in `cases/`, plus the middleware layer specifically — the part that is in *neither* list this crate could have been added to — and the crate leaving the workspace, because a wall whose subject is no longer a member is a wall that has stopped being able to fail, and it stops silently. The g4 row for this same predicate carries N5's wall for the wire crate and says nothing about this one; design §2.8's list is reconciled to name it in the same commit as this row
g5	tests	package(webcam-handler-daemon) and binary(web_rpc)	docs/7 P5b's first sentence — "the WS endpoint speaking the same JSON-RPC (the T5 trait has one home; WS is a transport)" — turned into something that can stop being true (design **D10**, **D11**). The suite runs a real `Wchd` over the fake, opens the web listener over the **same `Methods` value** the Unix socket is serving, and drives a real WebSocket upgrade on a real TCP socket. The one-home claim is made two ways because neither implies the other: the same call answered over both transports and compared **as values** (`wch_list`, which reaches the backend, and `wch_controls`, which carries a named parameter and therefore also says the two transports decode parameters alike — one of them arrived through axum's router and the other did not); and **every name the registration carries** named over the WebSocket, with the population read off `Methods::method_names()` and the failure being `-32601`, which is the only answer a second and smaller registration behind that route could give. The count the walk runs over is itself derived, from `daemon::server::ROUTED` plus `routed_subscriptions()`, so a twentieth method or a third subscription lands here as a failure rather than as a silence. Beside those: the gate on an **upgrade**, where an anonymous handshake and an equal-length one-digit-different token are both `401` and the token the daemon printed is a WebSocket, taken out of `ready_to_open_url` rather than off the `Token` value; **subscriptions really delivering** over this transport, which is a promise of jsonrpsee's rather than of ours (its HTTP path builds `OnlyCalls` and answers `-32603`) and is therefore asserted with a real sweep put on the wire unanswered, its typed progress events read as they interleave with the answer, and the session found on disk afterwards through the function the daemon answers `calibrate_list` from; the same three typed D13 refusals over all three transports, so a WebSocket route that had grown a refusal vocabulary of its own fails here rather than in a browser; and the per-connection subscription bound. What the suite does **not** claim is depth per verb — that is `read_verbs.rs`, `mutating_verbs.rs` and `calibrate_verbs.rs`, over the same daemon — and its header says so
g5	tests	package(webcam-handler-daemon) and test(/^http::rpc::/)	the two values `daemon::http::rpc` owns, at the altitude a socket cannot reach (docs/7 P5b). **The credential is taken off the request target before the wire surface is handed it**, and that is a defect class rather than tidiness: jsonrpsee's service logs the whole `http::Request` at `TRACE` on its own target, request line included, so a `RUST_LOG=trace` daemon would have written the bearer token into a journal — a leak the Unix socket cannot have, because its request target is `/`. The stripping happens **after** the gate has read the query (the gate is a layer over the whole router) and before the service sees it, and the test asserts the *string*: three shapes a client sends the token in, each rewritten to a target that does not contain the secret. Both of the function's `None` answers are asserted as the different facts they are — a target with no query at all, which is every request the page's own code makes with an `Authorization` header and where a rewrite would be a copy for nothing; and the **authority-form** request line `CONNECT host:443`, for which `Uri::path` answers the empty string and the empty string is not a URI, so there is nothing to rebuild and equally nothing to strip. That second arm is asserted to be reachable rather than argued: the test pins that `""` still fails to parse, so the day it stops failing the arm says its subject has moved instead of quietly passing. And the endpoint's path is asserted to be a **path** — three readers have to agree on `RPC_PATH` (the route, the suite, and P5c's client, which builds `ws://…/rpc?token=…` from the URL it was opened at), and a value that stopped being one would register a route axum never matches, which is a listener that answers 404 to its own client
g5	tests	package(webcam-handler-daemon) and test(/(an_anonymous_upgrade_is_refused_and_so_is_a_near_miss|the_wire_route_is_gated_and_the_page_beside_it_is_not)/)	**the route P5b added did not acquire an exception to D11**, asserted at the two altitudes that see different things — which is why this row spans two files rather than sitting inside either. AGENTS is explicit that "the web listener is opt-in, loopback + token by default … Weakening either is an owner decision, not a convenience fix", and since the owner's 2026-08-12 ruling narrowed the gate onto the two camera-bearing routes (note **N82**) the cheapest way to weaken it is no longer hypothetical: it is a third route merged after the `route_layer` line, or a route left off `daemon::http::CAMERA_BEARING_PATHS`. Both of those are `web-routes-are-gated.sh`'s; what *this* row holds is that the route which exists is still behind the credential. Over a **real handshake** that is a status and nothing else, because soketto reports a refused upgrade as `Rejected { status_code }`: anonymous is `401`, an equal-length one-digit-different token is `401`, and the token the daemon published opens a socket that answers `wch_list` — the third being what makes the first two about the digits rather than about a route that refuses everything. Over the **HTTP client** on the same path the answer is the refusal in full, and the three claims it carries do not imply one another: the status a client branches on, RFC 6750's challenge, and the body compared against `gate::REFUSAL` so that a build which started answering with a stack trace or with the token fails here rather than in a review. The same test pins that an authenticated `GET` of that path is **405 and not 404** — two facts at once, that the request got past the gate and that `/rpc` is a route rather than a name the asset fallback failed to find, since "POST is required" is an answer only the wire surface gives — and, in the same run against the same listener, that the page beside it is served to a request presenting **nothing**, which is the half of the ruling a build can get wrong in the opposite direction. A build that registered the endpoint on some other path answers 404 there, from the asset table, and now does it with no 401 in front of it
g5	tests	package(webcam-handler-daemon) and test(/may_open_only_the_subscriptions_this_project_bounds/)	`limits::RPC_MAX_SUBSCRIPTIONS_PER_CONNECTION` **read rather than transcribed, on both transports that serve the wire surface** (AGENTS's "bounded everything", note **N38**, docs/7 P5b). The bound has one home in `schema::limits` and, since P5b, one reader in `daemon::server::wire_bounds` — the single `ServerConfig` both `daemon::uds` and `daemon::http::rpc` build their jsonrpsee service from, because two copies of that expression would be two answers to "how many streams may one connection open" and the second copy is the one that stops matching the day the constant moves. This row is the thing that can go red on it: the same experiment runs over `AF_UNIX` and over a browser-shaped TCP WebSocket, and a web listener that had quietly inherited jsonrpsee's own defaults would let 1024 subscriptions onto one connection and fail at the ninth. The refusal is asserted as a **`-32006` answer to the subscribe call**, before any handler runs, which is what makes connect-and-abandon cost a client its own slots and nobody else's — and -32006 is jsonrpsee's own code, with D13's block starting at -32012 (`api::codes`), so there is no collision to reason about. Each arm ends by showing that a **second** connection is unaffected, which is the half that says the bound is per connection rather than per daemon — and on the TCP side that the `ConnectionGuard` the same builder hands out did not refuse it either, since that guard is per builder and this transport has one of its own — and that both connections still answer a verb, so the refusal cost one subscription and neither client a socket
